bad_quantity	T000000000094	2025-12-03	Stationery	INVALID	194.55
bad_date	T000000000096	2026-99-99	Pet Supplies	17	238.90
bad_quantity	T000000000154	2025-11-05	Music	INVALID	1494.58
field_count_4	T000000000416	2025-10-21	Appliances	14
bad_price	T000000000568	2026-11-23	Office	7	N/A
bad_quantity	T000000000625	2026-07-04	Automotive	INVALID	1934.61
field_count_6	T000000000693	2025-03-01	Automotive	10	1779.96	EXTRA
bad_date	T000000000914	2026-99-99	Home	12	572.34
field_count_4	T000000000968	2025-06-28	Toys	8
field_count_6	T000000001041	2025-06-19	Furniture	8	3754.37	EXTRA
bad_quantity	T000000001124	2026-03-13	Grocery	INVALID	23.71
field_count_6	T000000001200	2026-06-04	Footwear	12	463.73	EXTRA
bad_quantity	T000000001352	2026-11-29	Music	INVALID	1392.35
bad_price	T000000001409	2025-10-27	Automotive	5	N/A
bad_price	T000000001647	2025-07-31	Sports	8	N/A
field_count_4	T000000001737	2026-10-26	Music	19
bad_price	T000000001935	2025-07-30	Garden	2	N/A
bad_quantity	T000000001966	2025-09-29	Home	INVALID	681.36
field_count_6	T000000002014	2026-05-15	Furniture	5	4020.36	EXTRA
field_count_4	T000000002156	2026-08-05	Pet Supplies	2
